Data_Hora_Evento,Numero_Satelites,HDOP
2025-06-30 09:03:19,12.0,1.0
2025-06-30 09:03:25,12.0,1.0
2025-06-30 09:03:57,12.0,1.0
2025-06-30 09:05:03,12.0,1.0
2025-06-30 09:05:11,12.0,1.0
2025-06-30 09:05:13,12.0,1.0
2025-06-30 09:05:31,12.0,1.0
2025-06-30 09:05:36,12.0,1.0
2025-06-30 09:05:44,12.0,1.0
2025-06-30 09:05:46,12.0,1.0
2025-06-30 09:05:48,12.0,1.0
2025-06-30 09:05:50,12.0,1.0
2025-06-30 09:06:02,12.0,1.0
2025-06-30 09:06:07,12.0,1.0
2025-06-30 09:06:47,12.0,1.0
2025-06-30 09:06:52,12.0,1.0
2025-06-30 09:06:53,12.0,1.0
2025-06-30 09:06:54,12.0,1.0
2025-06-30 09:06:56,12.0,1.0
2025-06-30 09:07:07,12.0,1.0
2025-06-30 09:07:32,12.0,1.0
2025-06-30 09:07:34,12.0,1.0
2025-06-30 09:07:42,12.0,1.0
2025-06-30 09:07:57,12.0,1.0
2025-06-30 09:07:58,12.0,1.0
2025-06-30 09:08:00,12.0,1.0
2025-06-30 09:08:13,12.0,1.0
2025-06-30 09:08:14,12.0,1.0
2025-06-30 09:08:14,12.0,1.0
2025-06-30 09:08:14,12.0,1.0
2025-06-30 09:08:14,12.0,1.0
2025-06-30 09:08:49,12.0,1.0
2025-06-30 09:09:52,12.0,1.0
2025-06-30 09:09:53,12.0,1.0
2025-06-30 09:16:59,12.0,0.0
2025-06-30 09:16:59,12.0,0.0
2025-06-30 09:17:08,12.0,1.0
2025-06-30 09:17:08,12.0,1.0
2025-06-30 09:17:23,12.0,1.0
2025-06-30 09:17:38,12.0,1.0
2025-06-30 09:17:41,12.0,1.0
2025-06-30 09:17:41,12.0,1.0
2025-06-30 09:17:41,12.0,1.0
2025-06-30 09:17:41,12.0,1.0
2025-06-30 09:17:41,12.0,1.0
2025-06-30 09:17:41,12.0,1.0
2025-06-30 09:17:41,12.0,0.0
2025-06-30 09:17:41,12.0,0.0
2025-06-30 09:17:42,12.0,0.0
2025-06-30 09:17:42,12.0,0.0
2025-06-30 09:17:42,12.0,1.0
2025-06-30 09:17:42,12.0,1.0
2025-06-30 09:17:46,12.0,1.0
2025-06-30 09:18:07,12.0,1.0
2025-06-30 09:18:26,12.0,1.0
