Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2025-06-13 20:41:06,GTERI,22,180.0,
2025-06-13 20:44:06,GTERI,22,180.0,
2025-06-13 20:47:06,GTERI,22,180.0,
2025-06-13 20:50:06,GTERI,22,180.0,
2025-06-13 20:53:06,GTERI,22,180.0,
2025-06-13 20:56:06,GTERI,22,180.0,
2025-06-13 20:59:06,GTERI,22,180.0,
2025-06-13 21:02:06,GTERI,22,180.0,
2025-06-13 21:05:06,GTERI,22,180.0,
2025-06-13 21:08:06,GTERI,22,180.0,
2025-06-13 21:11:06,GTERI,22,180.0,
2025-06-13 21:14:06,GTERI,22,180.0,
2025-06-13 21:17:06,GTERI,22,180.0,
2025-06-13 21:20:06,GTERI,22,180.0,
2025-06-13 21:23:06,GTERI,22,180.0,
2025-06-13 21:26:06,GTERI,22,180.0,
2025-06-13 21:29:06,GTERI,22,180.0,
2025-06-13 21:32:06,GTERI,22,180.0,
2025-06-13 21:35:06,GTERI,22,180.0,
2025-06-13 21:38:06,GTERI,22,180.0,
2025-06-13 21:41:06,GTERI,22,180.0,
2025-06-13 21:44:06,GTERI,22,180.0,
2025-06-13 21:47:06,GTERI,22,180.0,
2025-06-13 21:50:06,GTERI,22,180.0,
2025-06-13 21:53:06,GTERI,22,180.0,
2025-06-13 21:56:06,GTERI,22,180.0,
2025-06-13 21:59:06,GTERI,22,180.0,
2025-06-13 22:02:06,GTERI,22,180.0,
2025-06-13 22:05:06,GTERI,22,180.0,
2025-06-13 22:08:06,GTERI,22,180.0,
2025-06-13 22:11:06,GTERI,22,180.0,
2025-06-13 22:13:30,GTERI,12,,6240.0
2025-06-13 22:13:30,GTIGF,,,
2025-06-13 23:13:26,GTERI,11,,3596.0
2025-06-14 00:13:26,GTERI,11,,3600.0
2025-06-14 01:13:26,GTERI,11,,3600.0
2025-06-14 02:13:26,GTERI,11,,3600.0
2025-06-14 03:13:26,GTERI,11,,3600.0
2025-06-14 04:13:26,GTERI,11,,3600.0
2025-06-14 04:31:25,GTIGN,,,
2025-06-14 04:31:38,GTERI,22,13.0,
2025-06-14 04:34:32,GTERI,22,174.0,
2025-06-14 04:37:32,GTERI,22,180.0,
2025-06-14 04:39:30,GTIGF,,,
2025-06-14 04:39:31,GTERI,12,,1.0
2025-06-14 05:39:26,GTERI,11,,3595.0
2025-06-14 06:39:26,GTERI,11,,3600.0
2025-06-14 07:39:26,GTERI,11,,3600.0
2025-06-14 08:39:26,GTERI,11,,3600.0
2025-06-14 09:39:26,GTERI,11,,3600.0
2025-06-14 10:39:26,GTERI,11,,3600.0
2025-06-14 10:40:03,GTIGN,,,
2025-06-14 10:40:27,GTERI,22,24.0,
2025-06-14 10:43:12,GTERI,22,165.0,
2025-06-14 10:46:12,GTERI,22,180.0,
2025-06-14 10:48:13,GTIGF,,,
2025-06-14 10:48:14,GTERI,12,,1.0
2025-06-14 11:48:09,GTERI,11,,3595.0
2025-06-14 12:48:09,GTERI,11,,3600.0
2025-06-14 13:48:09,GTERI,11,,3600.0
2025-06-14 14:06:58,GTIGN,,,
2025-06-14 14:07:08,GTERI,22,10.0,
2025-06-14 14:10:05,GTERI,22,177.0,
2025-06-14 14:10:50,GTIGF,,,
2025-06-14 14:10:50,GTERI,12,,0.0
2025-06-14 15:10:45,GTERI,11,,3595.0
2025-06-14 15:13:09,GTIGN,,,
2025-06-14 15:13:21,GTERI,22,12.0,
2025-06-14 15:16:16,GTERI,22,175.0,
2025-06-14 15:19:16,GTERI,22,180.0,
2025-06-14 15:22:16,GTERI,22,180.0,
2025-06-14 15:23:45,GTERI,12,,780.0
2025-06-14 15:23:45,GTIGF,,,
2025-06-14 15:33:34,GTIGN,,,
2025-06-14 15:33:44,GTERI,22,10.0,
2025-06-14 15:36:39,GTIGF,,,
2025-06-14 15:36:40,GTERI,12,,1.0
2025-06-14 15:40:12,GTIGN,,,
2025-06-14 15:40:17,GTERI,22,5.0,
2025-06-14 15:43:21,GTERI,22,184.0,
2025-06-14 15:44:13,GTIGF,,,
2025-06-14 15:44:13,GTERI,12,,0.0
2025-06-14 16:44:09,GTERI,11,,3596.0
2025-06-14 17:44:09,GTERI,11,,3600.0
2025-06-14 18:44:09,GTERI,11,,3600.0
2025-06-14 19:07:24,GTIGN,,,
2025-06-14 19:07:49,GTERI,22,25.0,
2025-06-14 19:09:50,GTIGF,,,
2025-06-14 19:09:50,GTERI,12,,0.0
2025-06-14 19:15:01,GTIGN,,,
2025-06-14 19:15:10,GTERI,22,9.0,
2025-06-14 19:16:11,GTERI,12,,381.0
2025-06-14 19:16:11,GTIGF,,,
2025-06-14 19:19:40,GTIGN,,,
2025-06-14 19:19:45,GTERI,22,5.0,
2025-06-14 19:20:30,GTIGF,,,
2025-06-14 19:20:30,GTERI,12,,0.0
2025-06-14 20:20:25,GTERI,11,,3595.0
2025-06-14 21:20:25,GTERI,11,,3600.0
2025-06-14 22:20:25,GTERI,11,,3600.0
2025-06-14 23:20:25,GTERI,11,,3600.0
2025-06-14 23:22:27,GTIGN,,,
2025-06-14 23:22:46,GTERI,22,19.0,
2025-06-14 23:25:36,GTERI,22,170.0,
2025-06-14 23:25:57,GTIGF,,,
2025-06-14 23:25:57,GTERI,12,,0.0
2025-06-14 23:34:23,GTIGN,,,
2025-06-14 23:34:33,GTERI,22,10.0,
2025-06-14 23:37:29,GTERI,22,176.0,
2025-06-14 23:40:29,GTERI,22,180.0,
2025-06-14 23:43:29,GTERI,22,180.0,
2025-06-14 23:45:01,GTIGF,,,
