bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,297,-23.329887,-51.177603,2025-07-09 04:56:35,3.0,21.0
1,298,-23.329887,-51.177603,2025-07-09 04:59:35,3.0,21.0
1,299,-23.329887,-51.177603,2025-07-09 05:02:35,3.0,21.0
1,300,-23.329887,-51.177603,2025-07-09 05:05:35,3.0,21.0
1,301,-23.329887,-51.177603,2025-07-09 05:08:35,3.0,21.0
1,302,-23.329887,-51.177603,2025-07-09 05:09:36,3.0,21.0
1,303,-23.329887,-51.177603,2025-07-09 05:11:35,3.0,21.0
1,304,-23.329887,-51.177603,2025-07-09 05:14:35,3.0,21.0
1,305,-23.329887,-51.177603,2025-07-09 05:17:35,3.0,21.0
1,306,-23.329887,-51.177603,2025-07-09 05:20:35,3.0,21.0
1,307,-23.329887,-51.177603,2025-07-09 05:23:35,3.0,21.0
1,308,-23.329887,-51.177603,2025-07-09 05:26:35,3.0,21.0
1,309,-23.329887,-51.177603,2025-07-09 05:29:35,3.0,21.0
1,310,-23.329887,-51.177603,2025-07-09 05:32:35,3.0,21.0
1,311,-23.329887,-51.177603,2025-07-09 05:35:35,3.0,21.0
1,312,-23.329887,-51.177603,2025-07-09 05:38:35,3.0,21.0
1,313,-23.329887,-51.177603,2025-07-09 05:41:35,3.0,21.0
1,314,-23.329887,-51.177603,2025-07-09 05:44:35,3.0,21.0
1,315,-23.329887,-51.177603,2025-07-09 05:47:35,3.0,21.0
1,316,-23.329887,-51.177603,2025-07-09 05:50:35,3.0,21.0
1,317,-23.329887,-51.177603,2025-07-09 05:53:35,3.0,21.0
1,318,-23.329887,-51.177603,2025-07-09 05:56:35,3.0,21.0
1,319,-23.329887,-51.177603,2025-07-09 05:59:35,3.0,21.0
1,320,-23.329887,-51.177603,2025-07-09 06:02:35,3.0,21.0
1,321,-23.329887,-51.177603,2025-07-09 06:05:35,3.0,21.0
1,322,-23.329887,-51.177603,2025-07-09 06:08:35,3.0,21.0
1,323,-23.329887,-51.177603,2025-07-09 06:11:35,3.0,21.0
1,324,-23.329887,-51.177603,2025-07-09 06:14:35,3.0,21.0
1,325,-23.329887,-51.177603,2025-07-09 06:17:35,3.0,21.0
1,326,-23.329887,-51.177603,2025-07-09 06:20:35,3.0,21.0
1,327,-23.329887,-51.177603,2025-07-09 06:23:35,3.0,21.0
1,328,-23.329887,-51.177603,2025-07-09 06:26:35,3.0,21.0
1,329,-23.329809,-51.17747,2025-07-09 06:29:24,3.2,21.0
1,330,-23.329887,-51.177603,2025-07-09 06:29:35,3.2,21.0
1,331,-23.329809,-51.17747,2025-07-09 06:33:39,3.2,21.0
1,332,-23.329809,-51.17747,2025-07-09 06:36:34,3.2,21.0
1,333,-23.329887,-51.177603,2025-07-09 06:38:35,3.2,21.0
1,334,-23.329887,-51.177603,2025-07-09 06:41:35,3.2,21.0
